;ID;Date;Author;Comment;Quoted Author;Quoted Comment
;38;02.03.2016;John Smith;Failed yet again. Try harder please. Be more crude, say something like 'Poles are apes with no ancestry, russo-german mongrels' or something like it. Else its 2/10;dank fur kopf;They're a mixture of all the cultures of Europe, as almost every Empire throughout European history has controlled what is now Polish territory. If a Pole offers you some Polish food it will be a mixture of German, French, Austrian, Russian, Prussian. more...
;39;02.03.2016;John Smith;And you hate your brothers so much? Do you not know, Poland was there for Serbia when Russia could not care? At the end of the day, both Poland and Russia turned on Yugoslavia, Poland with NATO and Russia with Yeltsin. Hating on one side is bias but I do know why. Poland for few historical reasons is extremely Russophobic, at least politically speaking.;;
;40;02.03.2016;dank fur kopf;They're a mixture of all the cultures of Europe, as almost every Empire throughout European history has controlled what is now Polish territory. If a Pole offers you some Polish food it will be a mixture of German, French, Austrian, Russian, Prussian.;;
;41;02.03.2016;John Smith;Poor german troll. Try harder.;dank fur kopf;Poland doesn't know what to do with itself. For the vast majority of history 'Poland' has been territories within various Empires.The Polish people don't really have a culture. It's just a collection of cultures from the Empires that controlled them. more...
;42;02.03.2016;dank fur kopf;Poland doesn't know what to do with itself. For the vast majority of history 'Poland' has been territories within various Empires.The Polish people don't really have a culture. It's just a collection of cultures from the Empires that controlled them.;;
;43;02.03.2016;John Smith;Poor attempt. Slavs have an innate ability to unite in hard times, truly hard times. Watch and see as Poland, Ukraine and Russia will stand on one side. Westerners should stop looking at Eastern Europe thinking they know all of its historical problems etc. Take care of your collapsing western 'life'.;;
;44;02.03.2016;Gordon Noble;A wall around Germany would be better , then fill it with water;;
;45;02.03.2016;Aubrey Garrett;No sense responding when the moderator sidelines your comment!;Stu Mac;She's already doing a lot of welfare stuff here in South Africa. I think she'll just settle for Cape Town, and become a back seat driver in the RSA government that is a proxy anyway. You guys in the States can breathe. more...
;46;02.03.2016;Gazi;That position reserved to General Michael T. Flynn.;;
;47;02.03.2016;Stu Mac;She's already doing a lot of welfare stuff here in South Africa. I think she'll just settle for Cape Town, and become a back seat driver in the RSA government that is a proxy anyway. You guys in the States can breathe.;;
;48;02.03.2016;Bo Rabbit;Hang up it Gentle Ben & don't make a fool of yourself.;;
;49;02.03.2016;Bernd Ratsch;Bye Bye Carson....;;
;50;02.03.2016;Stu Mac;Do you think Donald Trump will use the official helicopter, or his own? His own is probably better?;;
;51;02.03.2016;Europe4ever;Stop underestimating the guy, he didnt become a billionaire by being stupid.... chances are that he is smarter than your whole neighbourhood put together...;;
;52;02.03.2016;Evgeny Chernykh;Yeah. And he will send her to Raqqa to negotiate peace with not so moderate opposition.;;
;53;02.03.2016;Evgeny Chernykh;Yeah. Another one bites the dust. Trump is the champion, my friends.;;
;54;02.03.2016;Ditaba Hymie;It is good he is dropping out.;;
;55;02.03.2016;Jon Bradley;I can only maintain a clear conscience by voting for someone who is not a member of the Democratic or Republican parties.;;
;56;02.03.2016;Gaetano Aloi;curse on all of us Americans!;;
;57;02.03.2016;Gordon Noble;Wonder which one of the pathological bought for liars, he will decide to back ?;;
;58;02.03.2016;d0nj3nko o;Please God NO hillary!;;
https://www.rt.com/usa/334337-trump-google-searches-moving-canada/;;;;;;
;59;19.03.2016;Tom JS;To Tom Hill -   FYI, I am German (unfortunately). Dad is German and mom from North Carolina (USA). I know exactly what I am talking about. You are the typical A-s s hole, that walk in circle, barely speak English and doesn't know about other cultures. You are the one, who get your opinions from CNN, Fox News or any other brainwash media. I can't stand dumb MF like you.;Tom Hill;Why is he racist?  Being arrogant was practically invented by Americans.  Donald Trump is a typical American. Promotes hatred?  Since when was solving problems, promoting hatred?  He'll be better in Germany?  Have you ever been there?  Or do you get all your opinions from Hollywood shows and the unbiased US media?  I can't stand dumb MF like you. more...
;60;10.03.2016;Larry Nash;They should actually move to Great Britain. It would increase the IQ of both states.;;
;61;10.03.2016;Larry Nash;"You assume that because it is what you want as an american that it will be so. Move to Canada? What can you bring that we need? Canada takes immigramts on the basis of labour demographic. We search skill levels and potential for the immigrant applicant. Engineer without a criminal record? come on over. Whiner from the dole? Stay where you are. We do not support family reunification en masse. Can't help us with what we need to do here? Stay home. It is not a matter of ""Oh, we will just run away to Canada.""";;
;62;03.03.2016;Douglas Stash;Please Canada, take these ignorant people . Just don't expect them to pull their weight. Before sending them back ask us if we want them back . We'll pony up a few dollars for you to keep the worthless trash.;;
;63;03.03.2016;danny s;So are u a douchebag supporter?!;;
;64;03.03.2016;Sam Sam;TRUE the KKK was the Democratic party.;BeachN Sandy;"A bit of history about the KKK that you may not know.. It was formed by Democrats..""Most prominent in counties where the races were relatively balanced, the KKK engaged in terrorist raids against African Americans and white Republicans at night, employing intimidation, destruction of property, assault, and murder to achieve its aims and influence upcoming elections. In a few Southern states, Republicans organized militia units to break up the Klan."" more..."
;65;03.03.2016;BeachN Sandy;"A bit of history about the KKK that you may not know.. It was formed by Democrats..""Most prominent in counties where the races were relatively balanced, the KKK engaged in terrorist raids against African Americans and white Republicans at night, employing intimidation, destruction of property, assault, and murder to achieve its aims and influence upcoming elections. In a few Southern states, Republicans organized militia units to break up the Klan.""";;
;66;03.03.2016;sunnys travels;"the resurre ction is a je wish sc am. the Je wish follo wers of christ canni balized his body ( eat my body & drink my blood) the missing body /empty grave was sold as a ""Res urrection"" and Ju das or another dopp elganger posed as ""Christ"",even the close follo wers & the wo man with spi ces failed to rec ognize the ""risen "" lord.but was refe rred to as a gardener,";;
;67;03.03.2016;Ralph Evans;Our liberals move to Canada and Mexico?That's the stuff wet dreams are made of..Of course it would suk ta be Canadian.;;
;68;03.03.2016;Thom Prentice;There is no QUESTION that there will be a wall along the Rio Grande.  it is just a question of WHICH SIDE OF THE RIVER it wil be built upon.  The Mexicans don't want a bunch of bourgeois gringo illegal aliens flooding THEIR country. And neither does Canada.  But building a Canadian Wall to keep the gringo Americans out may be more problematic.  How do you build a wall through the Great Lakes and the St. Lawrence Seaway?;;
;69;03.03.2016;Aiden Chislong;Fack off we're full. We don't want a bunch of losers, who can't fight for themselves and run aways somewhere else. Go to Europe, they gonna accept you by millions, like all the refugees;;
;70;03.03.2016;Jens Erik Bech;Well if the entire PC moved to Canada, then they could sink Canada and give it back to the Indians and then they could all dance around the Totem Pole!Then Trump could be left with making America great again.;;
;71;03.03.2016;Ray Kalbach;Americans are idiots. They panic about everything. Trump will never win.;;
;72;03.03.2016;DanDanDanDan;They'll probably just invade us and r a p e our country like everywhere else Americans visit anyway;;
;73;03.03.2016;brian scrocca;Trump vs Washington DC criminals.;;
;74;03.03.2016;Joe Kerr;yes you don't have a head of state you have a queen of state, just wait till Scotland succeeds soonish after the England decides to leave the EU, then most commonwealth countries will get an elected head of state ie a president and those Mountbatten Austrians (they're not even English) will lose control of Wells too.;George W. Brown;I'm a native born Canadian and Canada is a pretty great country but if you plan to become a citizen here, be warned that your oath of allegiance will ask you to bear true allegiance to a particular British person and her family.  I'm just saying. more...
;75;03.03.2016;Joe Kerr;am I the only one that thinks Trump is more liberal then Hillary,and all of his rumbling is way to get more lest common deliminator votes?;;
;76;02.03.2016;Donnie McBee;Now that is enough to make me look to Canada or any where else................Trump will be bad and Hillary a freakin nightmare..........;;
;77;02.03.2016;Pigeater;Jacob Rothschild is Canadian ...... If you think you can escape :)));;
;78;02.03.2016;Critter K;Yeah I can. All the pain and suffering people are feeling world wide isn't caused by a race, it's elite's of all races at the top shifting the blame. So we fight between ourselves and don't shift our focus to the real enemy.;;
;79;02.03.2016;T Hoang;Can you blame him for feeling that way?;;
;80;02.03.2016;T Hoang;That's halarious! To be honest,  it would be just as bad if Clinton wins. I don't see how the American public can call the outcome a win no matter who win;;
;81;02.03.2016;Critter K;Another hit piece with globalization agenda's. The coward who wrote it, didn't even have the stones to put their name to it.;;
;82;02.03.2016;Critter K;Typical racism, but because it's being directed at whites, you think it's all good.;;
;83;02.03.2016;joe lubin;I ve been to Canada and looking back at the US from there I sort of see Maclean's point about Americans' attitude. Bruce may have a valid point Don't knock him someone down prematurely, just for the heck of it.;;
;84;02.03.2016;joe lubin;thanks for the hint;Lamotte;I always felt that the RT USA portion is suspect because it is based in Washington D.C., maybe influenced by the political realm of that environment. more...
;85;02.03.2016;Rambo John;It is superior.  Just like their education and health care system.  What's the problem here?;;
;86;02.03.2016;George W. Brown;Oh, I see like your repulsive Canadian attitude is sooo far superior to theirs, with your nose in the air.;;
;87;02.03.2016;Lamotte;I always felt that the RT USA portion is suspect because it is based in Washington D.C., maybe influenced by the political realm of that environment.;joe lubin;maybe I don't read the RT news carefully enough but I get the impression that RT is not giving Hillary half the c-rap she deserves but Trump gets what he does and doesn't deserve from  RT   Is RT on Moscow's or  ruppert murdoch payroll? more...
;88;02.03.2016;George W. Brown;I'm a native born Canadian and Canada is a pretty great country but if you plan to become a citizen here, be warned that your oath of allegiance will ask you to bear true allegiance to a particular British person and her family.  I'm just saying.;;
;89;02.03.2016;joe lubin;maybe I don't read the RT news carefully enough but I get the impression that RT is not giving Hillary   half the c-rap she deserves but Trump gets what he does and doesn't deserve from  RT   Is RT on Moscow's or  ruppert murdoch payroll?;;
;90;02.03.2016;Tom Hill;Why is he racist?  Being arrogant was practically invented by Americans.  Donald Trump is a typical American.  Promotes hatred?  Since when was solving problems, promoting hatred?  He'll be better in Germany?  Have you ever been there?  Or do you get all your opinions from Hollywood shows and the unbiased US media?  I can't stand dumb MF like you.;Tom JS;If this clown wasn't that racist, I would probably vote for him.  This guy is so arrogant, not really the typical US person. He'll fit better in Germany than in the US.  He promotes hatred.  I can't stand this MF. more...
;91;02.03.2016;BruceMaclean;The thought of thousands of Americans bringing their repulsive attitudes to Canada sickens me.;;
;92;02.03.2016;Tom Hill;No offence but sweetheart you need to stop jumping to conclusions that you feel may come to fruition because of your corrupt education and indoctrination.  You need to start looking at the world in a rational way without all your fairy tale expectations.;Robin Smith;You, sweetie, have no idea what or who I support. Your crazed RW conspiracy paranoia is showing publicly. Best you go have your milk & cookies now before Drumpf bans that too. more...
;93;02.03.2016;Lawd Mountbaton;Google searches for how soon can we build a wall to stop these Yanks getting in surge to  550%;;
;94;02.03.2016;Dan Foster;This is how I know Donald Trump does NOT hate people. He is using the opportunity the Republican Party has created like he used bankruptcy to save his business. He's not proud of it but you use every tool to fix a problem. The Republicans created a disenfranchised constituency and while most of them are good people some of them are xenophobic and/or raciest. These are the Republicans who nominate candidates. Donald is in this to win and he will come back to center just like all candidates do in the general election. Go watch his TV show and see how he has praised women and people of diversity long before he was running for POTUS. One of these two parties need to GO in order to save the country. The only way is to infiltrate and reform from within. Welcome to the revolution.;;
;95;02.03.2016;Lamotte;I would have thought people would have been leaving in droves at the mere thought of Hillary Clinton winning the presidency. These last eights years have certainly been a wake up call for me personally with a democratic president in place, totally igorning the civil liberties, inaliable, and privacy rights, of U.S. citizens. I see Clinton as a continuation of the same.;;
;96;02.03.2016;Arpine Mika;in the last years  number of people who gave up their citizenship for canada was recording high, nobody blames Obama... media can create what it wants ....;;
;97;02.03.2016;Craig Morehouse;So you think we have no idea who you are or what you think, but then you pretend to be psychic and know everything about complete strangers. Obviously, a Cruz supporter.;Robin Smith;You, sweetie, have no idea what or who I support. Your crazed RW conspiracy paranoia is showing publicly. Best you go have your milk & cookies now before Drumpf bans that too. more...
;98;02.03.2016;Craig Morehouse;Typical Cruz reasoning.;;
;99;02.03.2016;Craig Morehouse;Excellent. Get 'em Out!;;
;100;02.03.2016;Gordon Noble;? Dana i hope you clicked the wrong post;;
;101;02.03.2016;Robin Smith;You, sweetie, have no idea what or who I support. Your crazed RW conspiracy paranoia is showing publicly. Best you go have your milk & cookies now before Drumpf bans that too.;;
;102;02.03.2016;Gordon Noble;Your ok i think you just made top of the list .;;
;103;02.03.2016;Dana Rider;They want to move to another place they can control, canada is a good start they have been becoming more like the US everyday. the US has had enough and the rats are running.;;
;104;02.03.2016;Dana Rider;Their was a recent survey on infowars that if trump became president do you think that he would audit the fed, and a overwhelming response of 80% agreed that he would audit the fed and I agree.;;
;105;02.03.2016;Dana Rider;They know they will most likely be jailed after trump becomes president and starts charging these traitors to the US of treason.;;
;106;02.03.2016;John Smith;Every nation on earth with a central bank is controlled by the Judean Cabal.;;
;107;02.03.2016;John Smith;Left-wingers already planning escape? Good. The less of them in USA the better.;;
;108;02.03.2016;Dana Rider;Funny I hear trump talking about Christians and vets more than anybody, your a tad bit confused and need to seriously turn your TV off and do your own research.;;
;109;02.03.2016;Dana Rider;Why do they come over illegally??? because they are already wanted for something... come over here and commit more crimes because they are not even kept track of...;;
;110;02.03.2016;Gordon Noble;Good call;Dana Rider;The only ones that are scared  are muslim terrorists and brainwashed mainstream media sheep. Trump will have my family's vote any day over any of these other bozos. more...
;111;02.03.2016;Gordon Noble;World wide i think , among 1st world countries that is;Bler819;If Trump is elected, I think we will see a new era of friendship and cooperation between the United States and Russia. more...
;112;02.03.2016;Dana Rider;The only ones that are scared  are muslim terrorists and brainwashed mainstream media sheep. Trump will have my family's vote any day over any of these other bozos.;;
;113;02.03.2016;Bler819;If Trump is elected, I think we will see a new era of friendship and cooperation between the United States and Russia.;;
;114;02.03.2016;Gordon Noble;Save haven for ISIS ?;;
;115;02.03.2016;Gordon Noble;You voted in O'Bummer , and if not Donald , Killary,? good choice;Doug Deaton;"Sadly, leaving the U.S. for anywhere, would be just giving up!  I have to admit, there's nothing I would fear worse than ""the Donald"" becoming Commander in Chief.  I would chose to stay and protest every insane and stupid thing he did, and in so doing, I would be busier than a one armed paperhanger!  And honestly, I cannot belief there are that many people with a brain in their head, that would actually vote him into office! more..."
;116;02.03.2016;Troglodyte;There will be plenty of decent Europeans queuing up to replace ones that do, that is for sure.;;
;117;02.03.2016;Doug Deaton;"Sadly, leaving the U.S. for anywhere, would be just giving up!  I have to admit, there's nothing I would fear worse than ""the Donald"" becoming Commander in Chief.  I would chose to stay and protest every insane and stupid thing he did, and in so doing, I would be busier than a one armed paperhanger!  And honestly, I cannot belief there are that many people with a brain in their head, that would actually vote him into office!";;
;118;02.03.2016;Gordon Noble;Not from C & A by any chance lol;;
;119;02.03.2016;Prince;Much ado about nothing!!!;;
;120;02.03.2016;Dana Rider;He still has the same pair of underwear on he has wore since 1956.;Gordon Noble;You said you dont like change or the chance of a new beginning , why ? you surely must want away from what you have at present ? more...
;121;02.03.2016;Dana Rider;Every one of those searches is muslim terrorists looking to get out of the U.S. for when trump comes in to set things straight.;;
;122;02.03.2016;Gordon Noble;Look forward to the changes in the press libel laws Donald is going to make.;;
;123;02.03.2016;Gordon Noble;True;;
;124;02.03.2016;Gordon Noble;You said you dont like change or the chance of a new beginning , why ? you surely must want away from what you have at present ?;;
;125;02.03.2016;Gordon Noble;Instead of dumb 1 syllable sound bites , tell me why ?? sorry i do not follow mainstream media so i cannot comment on your statement;;
;126;02.03.2016;Tom JS;What ?;;
;127;02.03.2016;Tom JS;You are so naive !;;
;128;02.03.2016;Bernd Ratsch;I guess Petraeus wasn't in the 'Clinton Club'....and he did far less damage than Hitlary.;;
;129;02.03.2016;Gordon Noble;Sounds like you prefer the staus quo then , Trump will make America great again why not enjoy the ride;;
;130;02.03.2016;Vince Vega;No problem. All charges will be dropped.;Bernd Ratsch;I'd like to know how Hilary will even become President - seeing that she has probably had her security clearance either suspended or revoked while under federal investigation. more...
;131;02.03.2016;Gordon Noble;To used to being told what to think ?;Tom JS;If this clown wasn't that racist, I would probably vote for him.  This guy is so arrogant, not really the typical US person. He'll fit better in Germany than in the US.  He promotes hatred.  I can't stand this MF. more...
;132;02.03.2016;Gordon Noble;Being protected by Barry the Mooslim and the other members of Majestic;Bernd Ratsch;I'd like to know how Hilary will even become President - seeing that she has probably had her security clearance either suspended or revoked while under federal investigation. more...
;133;02.03.2016;Gordon Noble;Proof ? or are you upset because you are getting sent home , or worse you must be a leftie;Tom JS;This clown and racist MF won't be the president of the US. I don't like Hillary either, but she will be the one. Unfortunately !!!!      :( more...
;134;02.03.2016;Bernd Ratsch;I'd like to know how Hilary will even become President - seeing that she has probably had her security clearance either suspended or revoked while under federal investigation.;;
;135;02.03.2016;Tom JS;If this clown wasn't that racist, I would probably vote for him.  This guy is so arrogant, not really the typical US person. He'll fit better in Germany than in the US.  He promotes hatred.  I can't stand this MF.;;
;136;02.03.2016;Vince Vega;RT connects this hype with Trump. But Clinton's pace is more alarming. May be they're both corporate stooges, but Killary looks much more dangerous for now.;;
;137;02.03.2016;Tom JS;This clown and racist MF won't be the president of the US. I don't like Hillary either, but she will be the one. Unfortunately !!!!      :(;;
;138;02.03.2016;Steve Grant;Like Canada wants your trash!  Why is it that Americans think that they can just move where ever they want......and people will accept them.  I'm more willing to accept Syrians and muslims than Americans. Last thing Canada needs is a bunch of hate mongers.;;
;139;02.03.2016;Egor Khorvat;Back in the US, back in the US.  Back in the USSA.;;
;140;02.03.2016;Derek Maher;Lets see, Mr Trump has said he wants better relations with Russia, Has not approved unlike Hillary attacks on countries and regime changes so just maybe he might prove to be a decent leader.;;
;141;02.03.2016;brokenbc;Wish they would stay there. to bad the ones that left during Vietnam came back.;;
;142;02.03.2016;westernshame;Don't ruin Canada,  move to Mexico, it's nice and warm and you can practice your Spanish.;;
;143;02.03.2016;Mike White;Good riddens liberals, and please take your extended families with you!;;
;144;02.03.2016;onno frowein;These Americans are the same cowards who went to Canada during the Vietnam war to escape to serve in the US military service. Donald Trump should get supported for his initiative to serve and save America and prevent a lying warmonger like Hillary Clinton to get into the White House paid for by the rich 0,01%, the large banks/corporations and especially the defence industry who want wars even risking WW III to keep their profits up!!;;
;145;02.03.2016;Richard Lavigne;Canada will be in big troubles. More than 25,000 Syrian and 50,000 of anything.How many bandits, ISIS...?And we have to pay for them with new taxes.Crazy;;
;146;02.03.2016;John Holland;Go, Donald. Make America great like it used to be!;;
;147;02.03.2016;Richard Lavigne;Trump want to return to their country of origin more than 11 million illegal.Mostly latino.;;
;148;02.03.2016;Gordon Noble;Anybody sc.rewi.ng America is well against him , thats why they all want to leave , once Donald gets in the sc.rewi.ng stops , they are saving their own J.oo skins;Dan Foster;"RT bashing the only candidate who is friendly to Russia, interesting. I saw the list of ""celebrities"" planning to leave once he's elected and all I can say is, ""Trump, Making America Great Again!!!!!!!"" more..."
;149;02.03.2016;Dan Foster;"RT bashing the only candidate who is friendly to Russia, interesting. I saw the list of ""celebrities"" planning to leave once he's elected and all I can say is, ""Trump, Making America Great Again!!!!!!!""";;
;150;02.03.2016;1SavageDragon1;nonsense, complete and utter nonsense;;
;151;02.03.2016;bogitt and scarper;Americans have been been migrating for years because probably they dont like how there country is going.;;
;152;02.03.2016;Gordon Noble;All the illegals are trying to get out before they are thrown out lol, go get them Donald;;
https://www.rt.com/usa/334322-christie-face-trump-tuesday/;;;;;;
;153;02.03.2016;Jobu;“I think Trump could beat her like a tied-up billy goat,” said Mudcat Saunders, a rural Democratic strategist who’s supporting Bernie Sanders. “There are many areas in key swing states like Virginia, North Carolina, Ohio, and Pennsylvania that look like Sherman went through and didn’t burn anything. Empty factories, empty buildings, few opportunities for young people. It’s sad. It should be no surprise to anybody that voters in those areas are gravitating to Trump.”;;
;154;02.03.2016;Milo Georgieff;See this RT is already biased, I CANNOT reply;john D;you idiots think its hard to bash trump, there just reporting news and you see it as bashing LOL.. thats the joke here. They've been pretty lenient of trump if anything more...
;155;02.03.2016;Milo Georgieff;"You are insulting, THIS IS NOT NEWS, THIS IS CALLED BIASED article to BASH people. Why DON'T They publish on how Trump raised $6.0 Mln dollars for the Veterans? Or help poor farmers in South Carolina and saved their farms by paying their mortgage? Or helped all parents who lost their kids, shot by illegal immigrants?  This is NOT news! THIS IS BIASED ""NEWS"". I have been following those RT guys for while now, I NEVER saw a SINGLE POSITIVE ARTICLE about TRUMP or just ""REPORTING news"". Analyzing someone's tweets is NOT news, it is low-class media!";john D;you idiots think its hard to bash trump, there just reporting news and you see it as bashing LOL.. thats the joke here. They've been pretty lenient of trump if anything more...
;156;02.03.2016;john D;you idiots think its hard to bash trump, there just reporting news and you see it as bashing LOL.. thats the joke here. They've been pretty lenient of trump if anything;Milo Georgieff;Do not waste your time pal, let's NOT write here any more, these guys from RT are on a mission to help Obama, they got money from Washington or from an anti-Trump DONOR to bash Trump:))) LOL Pathetic LOSERS! more...
;157;02.03.2016;john D;christie was promised free doughnuts for him and his nj police hit squad from their favorite joint, trump is quite the businessman negotiator;;
;158;02.03.2016;Milo Georgieff;"Bye RT!!! Keep digging the ""truth""about Trump - you ALL still LIVE in the communism times:)))LOL";;
;159;02.03.2016;Milo Georgieff;Do not waste your time pal, let's NOT write here any more, these guys from RT are on a mission to help Obama, they got money from Washington or from an anti-Trump DONOR to bash Trump:))) LOL Pathetic LOSERS!;;
;160;02.03.2016;Milo Georgieff;I posted an explanation, but they are ALL vetted and scripted, so it is NOT published:))) LOL they still live in the communism those people.. With Hillary they are getting WW3;;
;161;02.03.2016;Don Farrell;great article I especially like the way tweets all line up. awesome. is that a 4 or 6 year degree in copy and paste.;;
;162;02.03.2016;Milo Georgieff;SilverBeard, those RT guys will NEVER write anything positive about TRUMP! They are on a mission helping Obama!;;
https://www.rt.com/op-edge/334316-tuesday-elections-candidates-super/;;;;;;
;163;03.03.2016;Ally Hauptmann-Gurski;The rule of the duopoly is toxic. Fewer people to pay off and massage their policies. We see it in Australia, too. Trump and Sanders are the protest vote, but they won't get up. The Colluding Class's system is still too strong. The American people will experience another phase of disappointment and if the Colluding Class is not careful, they could lose control. unless they can distract the people with another war. The Colluding Class needs to revise their policies. In the meantime don't enlist, don't allow the Colluding Class to play with your life.;;
;164;03.03.2016;Pigeater;Doubtful if even Governor Arnold used proper grammar :);;
;165;03.03.2016;Jake MacHine;I hope the both lose their respective primaries and join forces as an independent ticket of Trump/Sanders, or Sanders/Trump. I think they are both different enough to work together.;Rudolf Rangutan Graspointner;Both (either) Trump and Sanders can change the bad situation the USA is in to the better. I hope they become the two presidential candidates. ALL the others are sheep of lobbyists and would change nothing. The USA voter should think twice before voting another puppet of corporations. RRG2016 more...
;166;03.03.2016;Jake MacHine;When you look down on the level of education of americans, at least use proper grammar.;Pigeater;"When we have slowdown in China - it means that here in North America people had stopped shopping.....What happened during the last crash - 50 million jobs paying 22-25 usd/h  were replaced with 50 million jobs paying 12-15 usd/h..At the moment 40% of North American are ""roofers"" and ""construction workers"" ... That is the level of education :)))) more..."
